mun,uf,CD_GEOCMU,popest2017
Angra dos Reis,RJ,330010,194619
Aperibé,RJ,330015,11292
Araruama,RJ,330020,126742
Areal,RJ,330022,12143
Armação dos Búzios,RJ,330023,32260
Arraial do Cabo,RJ,330025,29304
Barra do Piraí,RJ,330030,97460
Barra Mansa,RJ,330040,179451
Belford Roxo,RJ,330045,495783
Bom Jardim,RJ,330050,26566
Bom Jesus do Itabapoana,RJ,330060,36068
Cabo Frio,RJ,330070,216030
Cachoeiras de Macacu,RJ,330080,57048
Cambuci,RJ,330090,15124
Campos dos Goytacazes,RJ,330100,490288
Cantagalo,RJ,330110,19697
Carapebus,RJ,330093,15568
Cardoso Moreira,RJ,330115,12519
Carmo,RJ,330120,18264
Casimiro de Abreu,RJ,330130,41999
Comendador Levy Gasparian,RJ,330095,8336
Conceição de Macabu,RJ,330140,22461
Cordeiro,RJ,330150,21250
Duas Barras,RJ,330160,11169
Duque de Caxias,RJ,330170,890997
Engenheiro Paulo de Frontin,RJ,330180,13576
Guapimirim,RJ,330185,57921
Iguaba Grande,RJ,330187,26936
Itaboraí,RJ,330190,232394
Itaguaí,RJ,330200,122369
Italva,RJ,330205,14723
Itaocara,RJ,330210,22694
Itaperuna,RJ,330220,99997
Itatiaia,RJ,330225,30703
Japeri,RJ,330227,101237
Laje do Muriaé,RJ,330230,7217
Macaé,RJ,330240,244139
Macuco,RJ,330245,5434
Magé,RJ,330250,237420
Mangaratiba,RJ,330260,42415
Maricá,RJ,330270,153008
Mendes,RJ,330280,18123
Mesquita,RJ,330285,171280
Miguel Pereira,RJ,330290,24871
Miracema,RJ,330300,26551
Natividade,RJ,330310,14960
Nilópolis,RJ,330320,158329
Niterói,RJ,330330,499028
Nova Friburgo,RJ,330340,185381
Nova Iguaçu,RJ,330350,798647
Paracambi,RJ,330360,50447
Paraty,RJ,330380,41454
Paraíba do Sul,RJ,330370,42922
Paty do Alferes,RJ,330385,26991
Petrópolis,RJ,330390,298235
Pinheiral,RJ,330395,24282
Piraí,RJ,330400,28222
Porciúncula,RJ,330410,18248
Porto Real,RJ,330411,18829
Quatis,RJ,330412,13785
Queimados,RJ,330414,145386
Quissamã,RJ,330415,23535
Resende,RJ,330420,126923
Rio Bonito,RJ,330430,58272
Rio Claro,RJ,330440,17988
Rio das Flores,RJ,330450,8984
Rio das Ostras,RJ,330452,141117
Rio de Janeiro,RJ,330455,6520266
Santa Maria Madalena,RJ,330460,10172
Santo Antônio de Pádua,RJ,330470,41312
Sapucaia,RJ,330540,17765
Saquarema,RJ,330550,85175
Seropédica,RJ,330555,84416
Silva Jardim,RJ,330560,21253
Sumidouro,RJ,330570,15191
São Fidélis,RJ,330480,37689
São Francisco de Itabapoana,RJ,330475,41191
São Gonçalo,RJ,330490,1049826
São José de Ubá,RJ,330513,6953
São José do Vale do Rio Preto,RJ,330515,21114
São João da Barra,RJ,330500,35174
São João de Meriti,RJ,330510,460461
São Pedro da Aldeia,RJ,330520,99906
São Sebastião do Alto,RJ,330530,9094
Tanguá,RJ,330575,32970
Teresópolis,RJ,330580,176060
Trajano de Moraes,RJ,330590,10352
Três Rios,RJ,330600,79402
Valença,RJ,330610,74237
Varre-Sai,RJ,330615,10597
Vassouras,RJ,330620,35768
Volta Redonda,RJ,330630,265201
